Sample 1 WL,Sample 1 DS,Sample 2 WL,Sample 2 DS,Sample 3 WL,Sample 3 DS
8.762,4.002,8.395,11.743,8.315,3.749
8.081,3.911,8.46,11.749,8.589,3.728
8.593,3.028,8.495,12.067,8.244,3.75
8.25,3.22,8.471,13.319,8.847,3.905
8.899,3.522,7.458,12.93,8.32,4.109
8.242,3.985,7.172,12.446,8.548,3.598
7.916,3.677,7.855,12.163,8.895,3.592
7.631,3.623,7.866,11.958,8.015,3.404
7.405,3.761,7.437,10.536,8.775,3.461
7.903,3.732,8.021,11.869,8.32,3.685
8.205,3.688,6.931,12.066,8.114,3.116
7.719,3.265,7.315,11.825,8.726,3.278
7.827,3.141,7.503,12.471,8.165,3.227
8.309,3.343,7.446,12.406,7.905,3.09
8.403,2.744,7.662,14.363,8.241,3.424
8.205,3.043,8.132,13.375,7.726,3.371
7.464,3.079,7.582,11.87,7.754,3.218
7.557,3.319,7.716,12.258,7.511,3.532
8.07,3.307,7.492,11.864,6.753,3.543
7.699,3.506,7.135,12.187,7.824,2.934
8.182,3.467,7.765,11.437,7.744,3.029
7.866,3.826,7.313,11.379,7.93,2.889
8.156,3.468,7.19,10.413,8.216,3.096
7.674,3.49,6.83,11.404,8.3,2.809
7.605,3.461,6.729,11.404,8.606,3.089
6.908,3.342,7.525,10.291,7.872,3.212
7.223,3.117,7.183,10.16,7.886,3.161
8.307,3.591,7.437,11.559,7.467,3.426
8.227,3.476,6.973,11.551,7.334,3.435
8.134,3.501,7.208,11.166,7.681,3.398
7.391,3.62,7.267,12.056,7.494,3.211
7.222,3.461,7.596,12.91,7.92,3.345
7.99,3.423,8.046,14.086,8.791,3.649
8.215,3.522,7.686,11.521,8.419,3.34
8.403,3.371,7.716,11.48,7.737,3.115
8.216,3.453,7.433,12.754,7.842,3.299
8.242,3.649,6.964,12.054,7.653,3.287
7.999,3.473,7.557,11.945,8.444,
8.253,2.919,7.752,11.783,8.246,
7.886,3.069,8.364,13.149,7.982,
7.945,3.3,8.808,12.611,8.941,
7.947,3.222,8.352,13.982,8.28,
8.227,3.621,8.892,13.635,7.593,
7.947,3.464,8.941,12.826,,
7.855,3.486,8.718,14.383,,
,,9.008,13.214,,
